FFF585	alluvium
303030	black mud
97BFBC	calcareous marl
FF00D2	clay
B400FF	clayey marl
FF7800	clayey loam
9CFF00	clayey sand
E2DC41	coarse sand
C9C9C9	conglomerate
FFEAB6	dune sand
FFD571	fine sand
898700	fragile sandstone
BDBDBD	gravel
85ADB9	gravelly marl
0000FF	limestone
FFB069	loam
00FFF0	marl
00A2FF	marl-limestone
AF8CD2	marly clay
517198	marly limestone
7DEBAC	marly sand
B7D6C4	pebbles
CAA704	sand
9E9257	sandstone
B73C73	sandy clay
A18EC9	sandy limestone
38CB46	sandy loam
00CC56	sandy marl
5D4EEB	shelly limestone
